content,subject,sentiment_value,score
庆铃皮卡不敢恭维不是惨而是太惨12.4万的简直是侮辱人,外观,-1,1
不用谈就像23万元的面包车,内饰,-1,1
凑合,空间,-1,2
方向指向不好超车发飘刹车甩尾无安全感,操控,-1,1
可以就是配件太次经常出问题,动力,0,4
太低质量太差四个门在里面都打不开,配置,-1,1
还挺不错的,动力,0,3
就那样后靠背打不开,配置,0,3
有点高不如长城,价格,0,3
比日产的舒服,舒适性,0,4
霸气王者风范时尚运动气息,外观,1,5
做工精致环保材质简约奢华高大尚,内饰,1,5
超大原有的7人作为升级为4人座,空间,1,5
动如狡兔方便,操控,1,5
V8发动机5.3排量,动力,1,5
商务家庭只有你想不到的没有他没有的,配置,1,5
如果单说这个的车型来说实在是太物超所值了,价格,0,4
整体的乘坐感有了很大的改善不再有颠簸的感觉,舒适性,1,5
延续历史经典•尽显勇者气魄,外观,1,5
奢尚工艺独特个性时尚先驱永恒经典,内饰,1,5
奢适同时尽享自然之美带来无与伦比的感受,空间,1,5
悠然自得开启轻松旅程,操控,1,5
美式强劲澎湃,动力,1,5
商务休闲豪华顶级,配置,1,5
生活品味的象征物超所值,价格,1,5
尊享全时移动行宫,舒适性,1,5
美式霸气宽大时尚,外观,1,5
卓越性能奢华优雅以及精湛美式工艺体现的淋漓尽致,内饰,1,5
四驱商务中的SUV,操控,1,5
澎湃强劲性能,动力,1,5
强大的豪华电视电脑顶级商务休闲,配置,1,5
物超所值,价格,1,5
尊贵无法掩饰您的个性直观更能彰显您的风格,舒适性,1,5
霸气十足的,外观,1,5
相对比较单一,内饰,0,3
都挺宽敞的,空间,1,5
控制自如的超控,操控,1,5
激情澎湃的,动力,1,5
蛮好的,配置,1,5
有点高,价格,-1,2
很舒适,舒适性,1,5
时尚动感小巧玲珑,外观,0,3
做工有点粗糙有点掉档次啊！,内饰,-1,2
前排倒还可以后排确实有点小了,空间,-1,2
还是可以的刹车软转向蛮灵敏的,操控,0,4
由于车小轻起步较快,动力,0,3
满足日常行车还是没问题的,配置,0,3
还是蛮高的,价格,0,4
短途坐坐还是可以的但坐长途的话就有点累了,舒适性,-1,1
动感就是太小了,外观,0,3
做工不错用料太差,内饰,0,3
太小尤其是纵向,空间,-1,2
一流指哪打哪,操控,1,5
用着没问题,动力,0,4
低没有什么USB接口,配置,0,4
一般有点贵,价格,0,3
不好说毕竟每个人眼光都不一样个人觉得挺灵巧的,外观,1,5
也中规中矩不过硬塑料过多,内饰,0,4
紧凑型的车子比较适当,空间,1,5
方向盘转向精准走抖得路后排乘坐可能会有点不舒服,操控,1,5
1.6的还可以,动力,0,4
和这个价位应该有的都有了,配置,1,5
性价比这就见仁见智了,价格,1,5
开过这个车开起来还可以整体可以,舒适性,1,5
10款悦动采用流体雕塑的设计语言整体大气和谐车型灵动顺畅吸引眼球用车已三年有余中间悦动又经历一次改款但对于老款悦动的仍然满意,外观,1,5
自动舒适版悦动整体简约大方以实用为主中控台门板处都是硬质塑料中控台表面使用软搪性材质包裹对提升车内档次及触感舒适度有一定程度的提升座椅是布质织物座椅座椅支撑力不错但包裹性舒适度一般,内饰,0,3
悦动的乘坐及载物能力是有口皆碑的楼主180的身高加上180的身体坐在前排头部及腿部均有不错的乘坐体验后排坐三个成年人不拥挤悦动后备箱容积达475升应对出游及走亲访友不成问题,空间,0,4
悦动方向盘采用液压助力转向较重但指向明确由于悦动采用注重耐磨的锦湖轮胎因而路噪胎噪较大悦动采用较硬的减震因而不能很好的过滤掉路面的颠簸感,操控,0,3
自动舒适版悦动采用1.6L自然吸气发动机匹配技术成熟的4AT自动变速箱功率达到90.4kw较为强劲由于自身车重较轻因而提速较快降档提速超车不在话下,动力,0,3
自动舒适版悦动只能说够用铝合金轮毂前后盘刹双安全气囊单碟CD音质不错手动空调制热较快制冷较慢在11年看来比较厚道的现在看来有些落伍了,配置,0,3
一分不少以10.88万元购入并加价3200元购买了只值1000多元的防盗器因而谈不上什么性价比算是给后来的同学提个醒一定要做足功课选准时机货比三家再出手毕竟买车是个大件小老百姓挣点钱也不容易！！！！,价格,0,3
我十分喜欢悦动的活泼灵动而又不失大方得体悦动和伊兰特有着千丝万缕的联系但是从悦动是很难再看到伊兰特的影子,外观,1,5
感觉用料一般毕竟价钱在那里十万级别的来说算是优秀的啦！车内接缝处还算比较整齐格调采用上深下浅很有时尚感,内饰,0,4
我身高176CM坐在前排头部很宽敞头部留有1拳左右的距离4542mm左右的车长以及2650mm的轴距够用,空间,0,4
悦动的转向还是很精准的稍稍有些重刹车系统开始的力度有些偏大还是比较灵敏的过弯时速度在40以上时侧倾较为明显,操控,0,4
在方面与同级别车型相比并不是很占优势不过1.6L的已经够用了提速还可以但前提是不开空调开了空调提速肉,动力,0,4
由于是低配版本不算很丰富但是家用轿车完全满足需要,配置,0,4
悦动也没有太多新的技术但是有着良好的市场口碑稳定的表现关键是合理所以性价比还是较高的,价格,1,5
我给4分大气将近2700mm的轴距只是线条感没有朗动那么强劲当时买红色完全是一个意外已经准备定闪铜了销售接了个电话有人红色退车自舒问我要不要立马刷卡走人！,外观,0,3
不怎么喜欢只有一个导航一个空调一个储物我喜欢英朗有科技感的中控！,内饰,0,3
很大6个120左右的人做毫无压力！,空间,0,4
